City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,lamu,-2.2717,40.902,77.22,83,60,16.13,KE,1689869099
143,talca,-35.4333,-71.6667,60.31,67,100,5.79,CL,1689868813
144,hawaiian paradise park,19.5933,-154.9731,73.04,98,100,5.75,US,1689869099
145,dudinka,69.4058,86.1778,65.62,94,81,11.92,RU,1689868847
146,burley,42.5357,-113.7928,75.16,50,0,5.75,US,1689869099
147,kampene,-3.6,26.6667,83.08,44,53,5.3,CD,1689869099
148,lukolela,-1.0605,17.1821,86.77,39,12,2.06,CD,1689869099
149,khanty-mansiysk,61.0042,69.0019,73.51,68,20,7.0,RU,1689869099
150,raja,8.4596,25.678,81.07,62,77,5.1,SS,1689869100
151,freetown,8.484,-13.2299,83.91,79,40,10.36,SL,1689869100
152,tonj,7.2737,28.6822,81.46,66,86,0.38,SS,1689869100
153,tsagan aman,47.5639,46.7218,80.1,29,8,9.78,RU,1689869100
154,kodiak,57.79,-152.4072,51.31,100,100,0.0,US,1689868852
155,bredasdorp,-34.5322,20.0403,50.99,66,10,12.57,ZA,1689869100
156,grand gaube,-20.0064,57.6608,73.38,72,21,14.29,MU,1689869101
157,hono,57.6897,11.6497,65.5,76,14,27.22,SE,1689869101
158,utrik,11.2278,169.8474,82.89,78,100,16.78,MH,1689869101
159,nikolayevsk-on-amure,53.1406,140.73,61.29,99,57,3.94,RU,1689869101
160,ghat,24.9647,10.1728,100.85,10,0,10.94,LY,1689869101
161,salto del guaira,-24.0625,-54.3069,73.99,57,0,12.57,PY,1689869094
162,atafu village,-8.5421,-172.5159,82.35,79,45,9.57,TK,1689869102
163,newman,37.3138,-121.0208,79.14,24,0,5.55,US,1689869102
164,la passe,45.5549,-0.8967,80.83,57,92,13.4,FR,1689869102
165,lajedo,-8.6636,-36.32,72.79,69,50,16.58,BR,1689869103
166,gazi,35.3253,25.0669,89.6,61,0,5.75,GR,1689869103
167,port augusta,-32.5,137.7667,46.71,70,4,6.98,AU,1689869103
168,keflavik,64.0049,-22.5624,55.31,82,75,6.91,IS,1689869103
169,san patricio,28.017,-97.5169,93.06,44,70,11.68,US,1689869104
170,weno,7.4515,151.8468,82.35,89,100,4.61,FM,1689869104
171,kidal,18.4411,1.4078,105.21,17,39,14.9,ML,1689869104
172,al hazm,16.1641,44.7769,93.88,23,100,18.59,YE,1689869104
173,wailua homesteads,22.0669,-159.378,77.79,89,100,17.27,US,1689869105
174,tsiombe,-25.3,45.4833,67.26,82,4,7.54,MG,1689869105
175,luanco,43.6152,-5.7934,74.01,77,84,6.53,ES,1689869105
176,urzhar,47.093,81.6294,73.08,45,1,3.31,KZ,1689869105
177,sur,22.5667,59.5289,91.11,59,98,3.53,OM,1689869106
178,alice springs,-23.7,133.8833,49.55,66,16,3.44,AU,1689869106
